timestamp,activity
0,4
0.02,4
0.04,4
0.06,4
0.08,4
0.1,4
0.12,4
0.14,4
0.16,4
0.18,4
0.2,4
0.22,4
0.24,4
0.26,4
0.28,4
0.3,4
0.32,4
0.34,4
0.36,4
0.38,4
0.4,4
0.42,4
0.44,4
0.46,4
0.48,4
0.5,4
0.52,4
0.54,4
0.56,4
0.58,4
0.6,4
0.62,4
0.64,4
0.66,4
0.68,4
0.7,4
0.72,4
0.74,4
0.76,4
0.78,4
0.8,4
0.82,4
0.84,4
0.86,4
0.88,4
0.9,4
0.92,4
0.94,4
0.96,4
0.98,4
1,4
1.02,4
1.04,4
1.06,4
1.08,4
1.1,4
1.12,4
1.14,4
1.16,4
1.18,4
1.2,4
1.22,4
1.24,4
1.26,4
1.28,4
1.3,4
1.32,4
1.34,4
1.36,4
1.38,4
1.4,4
1.42,4
1.44,4
1.46,4
1.48,4
1.5,4
1.52,4
1.54,4
1.56,4
1.58,4
1.6,4
1.62,4
1.64,4
1.66,4
1.68,4
1.7,4
1.72,4
1.74,4
1.76,4
1.78,4
1.8,4
1.82,4
1.84,4
1.86,4
1.88,4
1.9,4
1.92,4
1.94,4
1.96,4
1.98,4
2,4
2.02,4
2.04,4
2.06,4
2.08,4
2.1,4
2.12,4
2.14,4
2.16,4
2.18,4
2.2,4
2.22,4
2.24,4
2.26,4
2.28,4
2.3,4
2.32,4
2.34,4
2.36,4
2.38,4
2.4,4
2.42,4
2.44,4
2.46,4
2.48,4
2.5,4
2.52,4
2.54,4
2.56,4
2.58,4
2.6,4
2.62,4
2.64,4
2.66,4
2.68,4
2.7,4
2.72,4
2.74,4
2.76,4
2.78,4
2.8,4
2.82,4
2.84,4
2.86,4
2.88,4
2.9,4
2.92,4
2.94,4
2.96,4
2.98,4
3,4
3.02,4
3.04,4
3.06,4
3.08,4
3.1,4
3.12,4
3.14,4
3.16,4
3.18,4
3.2,4
3.22,4
3.24,4
3.26,4
3.28,4
3.3,4
3.32,4
3.34,4
3.36,4
3.38,4
3.4,4
3.42,4
3.44,4
3.46,4
3.48,4
3.5,4
3.52,4
3.54,4
3.56,4
3.58,4
3.6,4
3.62,4
3.64,4
3.66,4
3.68,4
3.7,4
3.72,4
3.74,4
3.76,4
3.78,4
3.8,4
3.82,4
3.84,4
3.86,4
3.88,4
3.9,4
3.92,4
3.94,4
3.96,4
3.98,4
4,4
4.02,4
4.04,4
4.06,4
4.08,4
4.1,4
4.12,4
4.14,4
4.16,4
4.18,4
4.2,4
4.22,4
4.24,4
4.26,4
4.28,4
4.3,4
4.32,4
4.34,4
4.36,4
4.38,4
4.4,4
4.42,4
4.44,4
4.46,4
4.48,4
4.5,4
4.52,4
4.54,4
4.56,4
4.58,4
4.6,4
4.62,4
4.64,4
4.66,4
4.68,4
4.7,4
4.72,4
4.74,4
4.76,4
4.78,4
4.8,4
4.82,4
4.84,4
4.86,4
4.88,4
4.9,4
4.92,4
4.94,4
4.96,4
4.98,4
5,4
5.02,4
5.04,4
5.06,4
5.08,4
5.1,4
5.12,4
5.14,4
5.16,4
5.18,4
5.2,4
5.22,4
5.24,4
5.26,4
5.28,4
5.3,4
5.32,4
5.34,4
5.36,4
5.38,4
5.4,4
5.42,4
5.44,4
5.46,4
5.48,4
5.5,4
5.52,4
5.54,4
5.56,4
5.58,4
5.6,4
5.62,4
5.64,4
5.66,4
5.68,4
5.7,4
5.72,4
5.74,4
5.76,4
5.78,4
5.8,4
5.82,4
5.84,4
5.86,4
5.88,4
5.9,4
5.92,4
5.94,4
5.96,4
5.98,4
6,4
6.02,4
6.04,4
6.06,4
6.08,4
6.1,4
6.12,4
6.14,4
6.16,4
6.18,4
6.2,4
6.22,4
6.24,4
6.26,4
6.28,4
6.3,4
6.32,4
6.34,4
6.36,4
6.38,4
6.4,4
6.42,4
6.44,4
6.46,4
6.48,4
6.5,4
6.52,4
6.54,4
6.56,4
6.58,4
6.6,4
6.62,4
6.64,4
6.66,4
6.68,4
6.7,4
6.72,4
6.74,4
6.76,4
6.78,4
6.8,4
6.82,4
6.84,4
6.86,4
6.88,4
6.9,4
6.92,4
6.94,4
6.96,4
6.98,4
7,4
7.02,4
7.04,4
7.06,4
7.08,4
7.1,4
7.12,4
7.14,4
7.16,4
7.18,4
7.2,4
7.22,4
7.24,4
7.26,4
7.28,4
7.3,4
7.32,4
7.34,4
7.36,4
7.38,4
7.4,4
7.42,4
7.44,4
7.46,4
7.48,4
7.5,4
7.52,4
7.54,4
7.56,4
7.58,4
7.6,4
7.62,4
7.64,4
7.66,4
7.68,4
7.7,4
7.72,4
7.74,4
7.76,4
7.78,4
7.8,4
7.82,4
7.84,4
7.86,4
7.88,4
7.9,4
7.92,4
7.94,4
7.96,4
7.98,4
8,4
8.02,4
8.04,4
8.06,4
8.08,4
8.1,4
8.12,4
8.14,4
8.16,4
8.18,4
8.2,4
8.22,4
8.24,4
8.26,4
8.28,4
8.3,4
8.32,4
8.34,4
8.36,4
8.38,4
8.4,4
