timestamp,activity
0.0,5.0
0.02,5.0
0.04,5.0
0.06,5.0
0.08,5.0
0.1,5.0
0.12,5.0
0.14,5.0
0.16,5.0
0.18,5.0
0.2,5.0
0.22,5.0
0.24,5.0
0.26,5.0
0.28,5.0
0.3,5.0
0.32,5.0
0.34,5.0
0.36,5.0
0.38,5.0
0.4,5.0
0.42,5.0
0.44,5.0
0.46,5.0
0.48,5.0
0.5,5.0
0.52,5.0
0.54,5.0
0.56,5.0
0.58,5.0
0.6,5.0
0.62,5.0
0.64,5.0
0.66,5.0
0.68,5.0
0.7000000000000001,5.0
0.72,5.0
0.74,5.0
0.76,5.0
0.78,5.0
0.8,5.0
0.8200000000000001,5.0
0.84,5.0
0.86,5.0
0.88,5.0
0.9,5.0
0.92,5.0
0.9400000000000001,5.0
0.96,5.0
0.98,5.0
1.0,5.0
1.02,5.0
1.04,5.0
1.06,5.0
1.08,5.0
1.1,5.0
1.12,5.0
1.1400000000000001,5.0
1.16,5.0
1.18,5.0
1.2,5.0
1.22,5.0
1.24,5.0
1.26,5.0
1.28,5.0
1.3,5.0
1.32,5.0
1.34,5.0
1.36,5.0
1.3800000000000001,5.0
1.4000000000000001,5.0
1.42,5.0
1.44,5.0
1.46,5.0
1.48,5.0
1.5,5.0
1.52,5.0
1.54,5.0
1.56,5.0
1.58,5.0
1.6,5.0
1.62,5.0
1.6400000000000001,5.0
1.6600000000000001,5.0
1.68,5.0
1.7,5.0
1.72,5.0
1.74,5.0
1.76,5.0
1.78,5.0
1.8,5.0
1.82,5.0
1.84,5.0
1.86,5.0
1.8800000000000001,5.0
1.9000000000000001,5.0
1.92,5.0
1.94,5.0
1.96,5.0
1.98,5.0
2.0,5.0
2.02,5.0
2.04,5.0
2.06,5.0
2.08,5.0
2.1,5.0
2.12,5.0
2.14,5.0
2.16,5.0
2.18,5.0
2.2,5.0
2.22,5.0
2.24,5.0
2.2600000000000002,5.0
2.2800000000000002,5.0
2.3000000000000003,5.0
2.32,5.0
2.34,5.0
2.36,5.0
2.38,5.0
2.4,5.0
2.42,5.0
2.44,5.0
2.46,5.0
2.48,5.0
2.5,5.0
2.52,5.0
2.54,5.0
2.56,5.0
2.58,5.0
2.6,5.0
2.62,5.0
2.64,5.0
2.66,5.0
2.68,5.0
2.7,5.0
2.72,5.0
2.74,5.0
2.7600000000000002,5.0
2.7800000000000002,5.0
2.8000000000000003,5.0
2.82,5.0
2.84,5.0
2.86,5.0
2.88,5.0
2.9,5.0
2.92,5.0
2.94,5.0
2.96,5.0
2.98,5.0
3.0,5.0
3.02,5.0
3.04,5.0
3.06,5.0
3.08,5.0
3.1,5.0
3.12,5.0
3.14,5.0
3.16,5.0
