timestamp,body_acc_x_train,body_acc_y_train,body_acc_z_train,body_gyro_x_train,body_gyro_y_train,body_gyro_z_train,total_acc_x_train,total_acc_y_train,total_acc_z_train
0.0,0.02743854,0.03675849,0.02325163,-0.00321364,0.1260873,-0.04397361,1.036227,-0.1914188,0.05245424
0.02,0.01348231,0.03197368,0.02115926,-0.05813019,0.1205138,-0.05538069,1.022487,-0.195407,0.05059147
0.04,-0.005899457,0.03522531,0.03113951,0.006587037,0.001150329,-0.04194089,1.00332,-0.1913673,0.06080431
0.06,-0.02282749,0.04427408,0.03727701,0.120017,-0.1149454,-0.07412355,0.9866059,-0.1815389,0.06717793
0.08,-0.02553943,0.04000055,0.04214826,0.1653217,-0.1224476,-0.08604168,0.9841052,-0.1850405,0.07228966
0.1,-0.002382035,0.02364456,0.04203968,0.1155477,-0.1339728,-0.07236884,1.00747,-0.200632,0.07242697
0.12,-0.0007025605,-0.00353079,0.03940899,0.1171479,-0.1286794,-0.06330318,1.009352,-0.2270504,0.07004861
0.14,0.0005195665,-0.0006381606,0.03357995,0.1097487,-0.08954467,-0.07319625,1.010771,-0.223409,0.06447926
0.16,0.01362016,0.03328489,0.01823555,0.06049462,-0.06630249,-0.07442348,1.024064,-0.1887468,0.04940248
0.18,0.005679302,0.05269054,0.01952726,0.03839164,-0.05695644,-0.01847877,1.01631,-0.1686118,0.05096979
0.2,0.003461543,0.05343122,0.02586857,0.02778835,-0.08896602,0.04239089,1.014274,-0.1671509,0.05759448
0.22,-0.0004472593,0.04016368,0.02484421,0.01687945,-0.1433946,0.06302509,1.010542,-0.1797062,0.05686109
0.24,-0.008062578,0.02981858,0.03047812,-0.0488087,-0.1875149,0.06667668,1.003099,-0.189346,0.0627935
0.26,-0.003614859,0.01685922,0.02741649,-0.06007777,-0.2064744,0.07726821,1.007714,-0.2016066,0.06003798
0.28,-0.006169734,-0.0005337043,0.02347105,0.02207259,-0.1687261,0.07498225,1.00532,-0.2183077,0.05640628
0.3,-0.003091559,0.009111165,0.02268598,0.05376896,-0.1198839,0.05291647,1.008554,-0.2079786,0.05594251
0.32,-0.005138662,0.01451667,0.01795777,0.04819816,-0.07412337,0.02589234,1.006657,-0.2018976,0.0515429
0.34,-0.01316744,0.007631661,0.02268894,0.04107332,-0.01842298,-0.01617436,0.9987715,-0.2081164,0.05660964
0.36,-0.005646752,0.01379116,0.02519931,0.06723958,-0.02590786,-0.01982833,1.006429,-0.2013006,0.05946221
0.38,-0.01302068,0.009012293,0.02341416,0.1063167,-0.07377823,0.008349615,0.9991847,-0.2054336,0.05802567
0.4,-0.01712309,-0.0004297099,0.02334907,0.1699265,-0.05218988,-0.003250241,0.9952045,-0.2142407,0.05831543
0.42,0.006215421,-0.002676083,0.01870616,0.2454635,0.04048224,-0.01022838,1.018657,-0.2158639,0.05403334
0.44,0.02183583,0.00295925,0.01486733,0.08077015,0.1425021,-0.01349709,1.034385,-0.2096178,0.05056097
0.46,0.01583655,0.02410155,0.01260034,-0.1780183,0.1821425,-0.02647677,1.028485,-0.1878779,0.04866555
0.48,-0.01256096,0.03659002,0.02441809,-0.2213284,0.1091686,0.02852279,1.000182,-0.1748048,0.06085938
0.5,-0.04565873,0.0371172,0.05353427,-0.2065316,0.004152918,0.1212896,0.9671717,-0.1737053,0.09035597
0.52,-0.05680522,0.03639087,0.07635696,-0.1582114,-0.07138138,0.1460319,0.9561061,-0.1738704,0.1135641
0.54,-0.04583815,0.02399201,0.07592596,0.006595285,-0.1434307,0.09893745,0.9671448,-0.1857182,0.1135254
0.56,-0.03283769,0.005375414,0.0536345,0.0888019,-0.1406943,0.05765393,0.9802058,-0.203793,0.09163501
0.58,-0.03221798,-0.001326561,0.03777588,0.02840624,-0.06105209,0.03743772,0.9808733,-0.2099626,0.07618785
0.6,-0.02899793,0.004838728,0.03169867,-0.002077063,-0.003774726,0.0002692583,0.9841276,-0.2032748,0.07053306
